IDENTIFICACION,PRIORIDAD_ELECCION_CARRERA,OFA_ID,ANTECEDENTE_ACADEMICO,EVALUACION_CAPACIDAD,CONDICION_SOCIOECONOMICA_POBREZA,RURALIDAD,TERRITORIALIDAD,PUEBLO_NACIONALIDAD,PERSONA_CON_DISCAPACIDAD,BENEFICIARIO_BONO_JOAQUIN,VICTIMA_VIOLENCIA_GENERO,MIGRANTE_RETORNADO,HIJO_VICTIMA_FEMICIDIO,ENFERMEDAD_CATASTROFICA,ACOGIMIENTO_INSTITUCIONAL,MERITO_ACADEMICO,OTROS_RECONOCIMIENTOS,BACHILLER_CURSO_ACTUAL
1,1,3017,771,771,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
1,2,3051,771,771,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
1,3,3045,771,771,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
1,4,3038,771,771,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
2,1,3008,609,609,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
2,2,3005,609,609,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
2,3,3047,609,609,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
2,4,3041,609,609,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
3,1,3043,853,853,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
3,2,3001,853,853,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
3,3,3052,853,853,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
3,4,3046,853,853,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
4,1,3010,681,681,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
4,2,3013,681,681,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
4,3,3037,681,681,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
4,4,3034,681,681,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
5,1,3012,961,961,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
5,2,3040,961,961,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
5,3,3007,961,961,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
5,4,3017,961,961,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
6,1,3030,910,910,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
6,2,3045,910,910,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
6,3,3010,910,910,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
6,4,3035,910,910,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
7,1,3038,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
7,2,3004,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
7,3,3039,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
7,4,3009,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
8,1,3005,801,801,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
8,2,3051,801,801,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
8,3,3045,801,801,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
8,4,3013,801,801,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
9,1,3005,919,919,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
9,2,3043,919,919,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
