OFA_ID,NOMBRE_CARRERA,OFERTA_POLITICA_CUOTAS,OFERTA_VULNERABILIDAD_SOCIOECONOMICA,OFERTA_MERITO_ACADEMICO,OFERTA_OTROS_RECONOCIMIENTOS,OFERTA_BACHILLER_P_N,OFERTA_BACHILLER_CURSO,OFERTA_GENERAL
3001,ENFERMERIA,11,11,11,0,5,5,62
3002,FISIOTERAPIA,3,3,3,0,2,2,17
3003,FONOAUDIOLOGIA,3,3,3,0,2,2,17
3004,LABORATORIO CLINICO,5,5,5,0,3,3,29
3005,MEDICINA,14,14,14,0,7,7,84
3006,NUTRICION Y DIETETICA,7,7,7,0,4,4,41
3007,ODONTOLOGIA,7,7,7,0,4,4,41
3008,PSICOLOGIA,7,7,7,0,4,4,41
3009,TERAPIA OCUPACIONAL,4,4,4,0,2,2,19
3010,ADMINISTRACION DE EMPRESAS,14,14,14,0,7,7,84
3011,AUDITORIA Y CONTROL DE GESTION,4,4,4,0,2,2,24
3012,COMERCIO EXTERIOR,12,12,12,0,6,6,72
3013,CONTABILIDAD Y AUDITORIA,12,12,12,0,6,6,72
3014,FINANZAS,4,4,4,0,2,2,24
3015,GESTION DE TALENTO HUMANO,4,4,4,0,2,2,19
3016,GESTION DE LA INFORMACION GERENCIAL,3,3,3,0,2,2,17
3017,MERCADOTECNIA O MARKETING,12,12,12,0,6,6,72
3018,ARQUEOLOGIA,3,3,3,0,1,1,14
3019,ARTES PLASTICAS,3,3,3,0,1,1,14
3020,ARTES ESCENICAS,5,5,5,0,3,3,29
3021,DISENO TEXTIL E INDUMENTARIA,3,3,3,0,2,2,17
3022,EDUCACION BASICA,4,4,4,0,2,2,19
3023,EDUCACION BASICA BILINGUE,4,4,4,0,2,2,19
3024,EDUCACION INCLUSIVA,3,3,3,0,2,2,17
3025,EDUCACION INICIAL,4,4,4,0,2,2,19
3026,EDUCACION INICIAL BILINGUE,4,4,4,0,2,2,19
3027,GESTION HOTELERA INTERNACIONAL,4,4,4,0,2,2,19
3028,PEDAGOGIA DE LA LENGUA Y LA LITERATURA,4,4,4,0,2,2,19
3029,PEDAGOGIA DE LOS IDIOMAS NACIONALES Y EXTRANJEROS,4,4,4,0,2,2,19
3030,ENTRENAMIENTO DEPORTIVO,7,7,7,0,4,4,41
3031,PSICOLOGIA EDUCATIVA,4,4,4,0,2,2,19
3032,SOCIOLOGIA,3,3,3,0,2,2,17
3033,TURISMO SOSTENIBLE,4,4,4,0,2,2,19
3034,ARQUITECTURA,9,9,9,0,5,5,53
3035,ELECTRICIDAD,11,11,11,0,5,5,62
3036,INGENIERIA CIVIL,7,7,7,0,4,4,41
3037,INGENIERIA INDUSTRIAL,8,8,8,0,4,4,43
3038,INGENIERIA MARITIMA,7,7,7,0,4,4,41
3039,AGROINDUSTRIA,5,5,5,0,2,2,26
3040,AGRONEGOCIOS,4,4,4,0,2,2,19
3041,AGROPECUARIA,11,11,11,0,5,5,62
3042,ALIMENTOS,5,5,5,0,2,2,26
3043,BIOLOGIA,14,14,14,0,7,7,84
3044,INGENIERIA AMBIENTAL,4,4,4,0,2,2,19
3045,SOFTWARE,16,16,16,0,8,8,96
3046,TECNOLOGIAS DE LA INFORMACION,12,12,12,0,6,6,72
3047,COMUNICACION,6,6,6,0,3,3,36
3048,CRIMINOLOGIA Y CIENCIAS FORENSES,9,9,9,0,5,5,53
3049,DERECHO,9,9,9,0,5,5,53
3050,ECONOMIA,5,5,5,0,2,2,26
3051,TRABAJO SOCIAL,9,9,9,0,5,5,53
3052,BIENES RAICES,3,3,3,0,2,2,17
3053,CONSTRUCCION SISMO RESISTENTE,4,4,4,0,2,2,19
3054,GASTRONOMIA,7,7,7,0,4,4,41
3055,METALMECANICA,4,4,4,0,2,2,19
3056,TECNOLOGIA SUPERIOR EN COMUNICACION PARA TELEVISION,4,4,4,0,2,2,19
